Comedy	17.620917418271624	122	Arts & Entertainment\Movies/Television:0.616181,Arts & Entertainment\Humor:0.999996,Arts & Entertainment\Comics & Animation\Comics:0.651
Satire	18.746590322153132	120	Law-Government-Politics:0.651,Arts & Entertainment\Movies/Television:0.928222,Arts & Entertainment\Humor:0.956334,Arts & Entertainment\Music:0.665
Humour	11.030589773711046	76	Arts & Entertainment\Humor:0.999999,Education:0.723608,Health:0.904987,Arts & Entertainment\Comics & Animation\Cartoons:0.65799
Pun	5.697755606586597	41	Style & Fashion\Cosmetic procedures:0.651,Arts & Entertainment\Humor:0.968348,Style & Fashion\Skin & Facial Care:0.651
Joke	5.0653427429191735	31	Arts & Entertainment\Humor:0.995394
Black comedy	3.330430954738204	28	Arts & Entertainment\Humor:0.997073,Arts & Entertainment\Comics & Animation\Comics:0.651
Surreal humour	3.6094446558766453	24	Arts & Entertainment\Humor:0.99982
Punch (magazine)	6.451616008989128	23	Arts & Entertainment\Humor:0.963634,News\Newspapers:0.406112
Farce	6.017998757555895	23	Arts & Entertainment\Humor:0.752155
Humor magazine	4.748510210635528	21	Arts & Entertainment\Humor:0.999444,Arts & Entertainment\Comics & Animation\Cartoons:0.678521
Irony	5.8323876717608965	20	Arts & Entertainment\Humor:0.840521
Laughter	4.618125802454886	19	Health\Mental health\Psychology/Psychiatry:0.802654,Arts & Entertainment\Movies/Television:0.904784,Health:0.751845,Education:0.67267,Arts & Entertainment\Humor:0.91904
Melbourne International Comedy Festival	3.2215264490961353	18	Arts & Entertainment\Movies/Television:0.547447,Arts & Entertainment\Humor:0.985645,Arts & Entertainment\Comics & Animation\Comics:0.651
Slapstick	2.0536504400226834	17	Arts & Entertainment\Humor:0.711715,Style & Fashion\Fitness:0.651
Sarcasm	5.823050153037242	17	Arts & Entertainment\Humor:0.75605
The Goon Show	2.894732133374709	16	Arts & Entertainment\Humor:0.845875,Education:0.66682,Law-Government-Politics\Politics:0.665,Style & Fashion\Fitness:0.666896
Funny or Die	4.6035312876778605	16	Arts & Entertainment\Humor:0.995879
Private Eye	3.1430084587355873	15	News:0.665,Arts & Entertainment\Humor:0.723843
Punch line	1.8319957332692096	14	Arts & Entertainment\Humor:0.962931
Off-color humor	2.6543957212860247	14	Arts & Entertainment\Humor:0.999995,Lifestyle\Ethnic & Identity Groups:0.707933
Burlesque	2.4494497700842373	13	Arts & Entertainment\Humor:0.748859
Ig Nobel Prize	2.229928106729483	13	Arts & Entertainment\Humor:0.963921
