AllMusic	2225.106887031583	66356	Arts & Entertainment\Music:0.883085
Bass guitar	963.747123127638	28615	Arts & Entertainment\Music:0.892585
Rock music	1071.9270006713343	27252	Arts & Entertainment\Movies/Television:0.482308,Arts & Entertainment\Music:0.992579
Pop music	1058.8242108906863	26006	Arts & Entertainment\Movies/Television:0.958247,Arts & Entertainment\Music:0.998497
Billboard (magazine)	699.6963957030598	22354	Arts & Entertainment\Music:0.738584
Billboard Hot 100	693.1023767223805	19494	Arts & Entertainment\Music:0.698772
Alternative rock	638.4132506927394	18037	Home & Garden\DIY:0.807193,Arts & Entertainment\Music:0.93393,News\Newspapers:0.670632
Jazz	894.1359974785747	17665	Arts & Entertainment\Music:0.910422,Family & Parenting:0.651
Record producer	511.6505663090883	14502	Health:0.618643,Arts & Entertainment\Music:0.740754,Finance:0.651
Country music	536.7175092150454	13116	Arts & Entertainment\Music:0.499832
Hip hop music	558.2485131613948	12882	Arts & Entertainment\Music:0.826077
Indie rock	438.87737020541755	10946	Arts & Entertainment\Music:0.926549
Hard rock	354.72243456113574	10312	Careers:0.651,Arts & Entertainment\Music:0.694166
Pitchfork Media	331.3270699769222	9033	News:0.665,Arts & Entertainment\Music:0.718251
Rhythm and blues	400.77973779984643	8623	Home & Garden\Bed and bath:0.651,Arts & Entertainment\Music:0.958856
Pop rock	285.1133490561075	8506	Arts & Entertainment\Music:0.995134
Soul music	292.1180828321311	7712	Arts & Entertainment\Music:0.798562
Hot R&B/Hip-Hop Songs	208.86823385642833	7483	Arts & Entertainment\Music:0.353969
Music video	224.61078073313257	7403	Arts & Entertainment\Music:0.743925
Contemporary R&B	213.7898308666559	7305	Arts & Entertainment\Music:0.826634
Electric guitar	268.2029661660601	7017	Electronics & Computing:0.622805,Electronics & Computing\Audio Players & Systems:0.538449,Arts & Entertainment\Music:0.880531,Health\Health Conditions\A.D.D.:0.66727
Singer-songwriter	257.1320408794734	6423	Health:0.382459,Arts & Entertainment\Music:0.967517
Composer	515.0172354889912	6352	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Health:0.413635,Arts & Entertainment\Music:0.95
Progressive rock	251.55176517881955	6350	Arts & Entertainment\Movies/Television:0.518826,Arts & Entertainment\Music:0.954633
Grammy Award	288.6167991273742	5962	Arts & Entertainment\Movies/Television:0.885949,Arts & Entertainment\Music:0.909261
Songwriter	313.20965957791265	5853	Law-Government-Politics:0.664721,Careers:0.660959,Arts & Entertainment\Music:0.698772
RPM (magazine)	173.000562311625	5777	Arts & Entertainment\Music:0.714506
Atlantic Records	192.00818488158703	5528	Electronics & Computing\Audio Players & Systems:0.651,Sports\Game & Fishing:0.723055,Arts & Entertainment\Music:0.793299
Oricon	154.9976726714796	5402	Arts & Entertainment\Music:0.698772
New wave music	212.65410228641898	5313	Arts & Entertainment\Music:0.988023
Universal Music Group	236.32817107801247	5175	Arts & Entertainment\Music:0.798626
Capitol Records	179.68906245766993	5146	Arts & Entertainment\Music:0.40723
Syndicat National de l'Édition Phonographique	128.49015235461516	5138	Electronics & Computing\Audio Players & Systems:0.689124,Arts & Entertainment\Hobbies\Antiques & Collectables:0.658172,Arts & Entertainment\Music:0.920177
Epic Records	154.6358986429928	5040	Arts & Entertainment\Music:0.259961
Blues	284.9720052334674	4903	Arts & Entertainment\Movies/Television:0.458198,Arts & Entertainment\Music:0.977735,Lifestyle\Religion and Belief:0.732938
The Beatles	244.0817079865496	4800	Arts & Entertainment\Pop Culture & Celebrity News:0.99789,Health\Health Conditions\Cancer:0.651,Careers:0.651,Arts & Entertainment\Books and Literature:0.953835,Electronics & Computing\Audio Players & Systems:0.359674,Arts & Entertainment\Music:0.999998
Lead guitar	136.68234224300107	4737	Arts & Entertainment\Music:0.753377
Synthpop	177.9067261594975	4703	Pets & Animals:0.661776,Electronics & Computing\Audio Players & Systems:0.538375,Arts & Entertainment\Music:0.981291
Cover version	157.6108217499772	4639	Arts & Entertainment\Music:0.764758
Backing vocalist	103.80306539309544	4434	Electronics & Computing\Hardware:0.740222,Arts & Entertainment\Music:0.830862
Folk rock	180.08206308445784	4430	Pets & Animals:0.651,Arts & Entertainment\Music:0.659955
Dance music	184.7572669967179	4344	Electronics & Computing:0.656879,Arts & Entertainment\Radio:0.685245,Arts & Entertainment\Music:0.779601,Arts & Entertainment\Fine Art:0.643808
Rock and roll	270.35697590607083	4222	Style & Fashion:0.655742,Family & Parenting\Kids & Teens:0.677541,Arts & Entertainment\Music:0.785273,Style & Fashion\Fashion:0.655742
Virgin Records	145.8886854966365	4191	Arts & Entertainment\Music:0.355436
Top R&B/Hip-Hop Albums	92.96006941059542	4171	Arts & Entertainment\Music:0.399939
Rhythm guitar	118.6192807988721	3997	Arts & Entertainment\Music:0.588685
Warner Music Group	184.8830265250112	3658	Arts & Entertainment\Music:0.769917,Finance\Investing\Stocks:0.34749
List of music recording certifications	95.50576202648391	3637	Style & Fashion\Jewelry:0.641481,Electronics & Computing\Audio Players & Systems:0.969368,Arts & Entertainment\Music:0.997617
Dance-pop	106.60420866012977	3558	Arts & Entertainment\Music:0.949715
Psychedelic rock	137.50345105453692	3493	Arts & Entertainment\Music:0.44851
Reggae	190.59069251914318	3482	Arts & Entertainment\Hobbies\Drawing/Sketching:0.651,Careers:0.651,Arts & Entertainment\Music:0.927387
Hardcore punk	173.55636372313128	3360	Arts & Entertainment\Humor:0.671017,Home & Garden\DIY:0.6728,Arts & Entertainment\Music:0.801456
Mercury Records	117.72762211125203	3339	Arts & Entertainment\Music:0.176088
MegaCharts	71.92191870089103	3336	Arts & Entertainment\Music:0.705301
Indie pop	148.05114088269863	3268	Lifestyle\Wedding & Engagement:0.651,Arts & Entertainment\Music:0.835617
Bob Dylan	136.32486424983844	3239	Arts & Entertainment\Pop Culture & Celebrity News:1.0,Arts & Entertainment\Movies/Television:0.999884,Careers:0.878199,Lifestyle\Religion and Belief:0.694871,Arts & Entertainment\Books and Literature:0.958809,Reference\Libraries & Museums\Museums:0.711494,Arts & Entertainment\Music:1.0
J-pop	158.6013334434442	3153	Arts & Entertainment\Music:0.887478
Island Records	114.41356002470636	3096	Arts & Entertainment\Music:0.356767
Federazione Industria Musicale Italiana	68.73648592826899	2914	Family & Parenting\Babies & Toddlers:0.651,Electronics & Computing\Audio Players & Systems:0.739117,Arts & Entertainment\Music:0.93546
Australian Recording Industry Association	72.42627375028344	2891	Arts & Entertainment\Music:0.944984
Discogs	228.1209205500876	2887	Health\Health Conditions\A.D.D.:0.878199,Electronics & Computing\Software:0.958879,Electronics & Computing\Consumer Electronics:0.651,Electronics & Computing\Audio Players & Systems:0.705745,Arts & Entertainment\Music:0.961654
Pop punk	119.17906886721934	2868	Home & Garden\DIY:0.656213,Arts & Entertainment\Music:0.990238
Thrash metal	118.38816549018469	2804	Arts & Entertainment\Hobbies\Drawing/Sketching:0.651,Style & Fashion\Jewelry:0.709304,Sciences\Chemistry:0.638715,Arts & Entertainment\Music:0.883085
British Phonographic Industry	80.13490267378788	2773	Electronics & Computing\Audio Players & Systems:0.903356,Arts & Entertainment\Music:0.991767
Blues rock	99.91847698172307	2749	Pets & Animals:0.651,Arts & Entertainment\Music:0.722055
Disco	136.22310194260706	2589	Style & Fashion:0.651,Arts & Entertainment\Music:0.980882,Arts & Entertainment\Fine Art:0.647674,Style & Fashion\Fashion:0.651
Jazz fusion	124.51498824216229	2580	Arts & Entertainment\Music:0.46931
Sony BMG	101.74913305563332	2568	Electronics & Computing\Game systems:0.687492,Arts & Entertainment\Music:0.723089
ITunes Store	86.80106127836856	2565	Arts & Entertainment\Movies/Television:0.705817,Electronics & Computing\Audio Players & Systems:0.746206,Electronics & Computing\Cell Phone & PDA:0.612745,Arts & Entertainment\Music:0.855488
Canadian Hot 100	63.958981252682364	2560	Arts & Entertainment\Music:0.895879
Official Charts Company	67.91677759120677	2552	Arts & Entertainment\Music:0.72883,News\Newspapers:0.670632
Rapping	109.95193762757664	2499	Arts & Entertainment\Music:0.679222
The Rolling Stones	144.7434674579034	2494	Arts & Entertainment\Pop Culture & Celebrity News:0.999878,Arts & Entertainment\Movies/Television:0.95,Games\Board games & Puzzles\Chess:0.651,Style & Fashion\Body Art & Tattoos:0.656811,Style & Fashion\Fashion:0.651,Style & Fashion:0.651,Arts & Entertainment\Music:0.999965
Song	199.3100644069554	2297	Arts & Entertainment\Music:0.720922,Lifestyle\Religion and Belief:0.707365
Productores de Música de España	49.012103068210315	2284	Electronics & Computing\Audio Players & Systems:0.689124,Arts & Entertainment\Music:0.909261
Accordion	89.3895995854212	2174	Arts & Entertainment\Music:0.366983
Drummer	97.51549374675918	2146	Health:0.391465,Arts & Entertainment\Music:0.832383
Gospel music	157.25984981432606	2140	Style & Fashion\Skin & Facial Care:0.651,Style & Fashion\Cosmetic procedures:0.651,Style & Fashion\Fashion:0.651,Style & Fashion:0.651,Lifestyle\Religion and Belief:0.929961,Arts & Entertainment\Music:0.975697
International Federation of the Phonographic Industry	104.45789441309894	2099	Arts & Entertainment\Music:0.729139
World music	95.90404776966285	1963	Arts & Entertainment\Music:0.746338,Lifestyle\Ethnic & Identity Groups:0.700666
Contemporary Christian music	90.01507882926313	1914	Arts & Entertainment\Music:0.804922,Lifestyle\Religion and Belief:0.635807
Art rock	74.17451602138286	1869	Family & Parenting\Kids & Teens:0.692793,Arts & Entertainment\Music:0.858182,Arts & Entertainment\Fine Art:0.712155
Johann Sebastian Bach	127.3369931782565	1841	Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Health\Aging and Geriatrics:0.767821,Health:0.680378,Style & Fashion\Beauty:0.651,Family & Parenting:0.901934,Arts & Entertainment\Books and Literature:0.95,Arts & Entertainment\Music:0.997662
Garage rock	79.86245941089305	1800	Arts & Entertainment\Music:0.906861
Programming (music)	40.26265979980531	1797	Electronics & Computing:0.687846,Arts & Entertainment\Music:0.70771,Electronics & Computing\Software:0.550051
Lead single	35.593439862424155	1789	Electronics & Computing\Audio Players & Systems:0.598079,Travel\Hotels & Accommodations:0.651,Arts & Entertainment\Music:0.996187
Wolfgang Amadeus Mozart	103.10943099564648	1771	Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Lifestyle\Wedding & Engagement:0.684039,Arts & Entertainment\Books and Literature:0.951093,Finance:0.651,Arts & Entertainment\Music:0.997719
U2	86.04216788669011	1768	Arts & Entertainment\Pop Culture & Celebrity News:0.997566,Family & Parenting\Kids & Teens:0.671566,Careers:0.651,Arts & Entertainment\Books and Literature:0.952149,Family & Parenting\Babies & Toddlers:0.651,Arts & Entertainment\Music:0.999978
Led Zeppelin	89.51101391961404	1759	Arts & Entertainment\Pop Culture & Celebrity News:0.997565,Careers:0.878199,Family & Parenting:0.656934,Electronics & Computing\Home Theater & TV:0.588143,Reference\Libraries & Museums\Museums:0.68746,Electronics & Computing\Audio Players & Systems:0.743492,Arts & Entertainment\Music:0.999978
Electropop	65.64818360550625	1734	Arts & Entertainment\Music:0.958007
Mainstream Top 40	117.69948363685526	1726	Arts & Entertainment\Music:0.676545
Soft rock	69.45712446847729	1719	Arts & Entertainment\Music:0.190268
Electronic dance music	86.94240548840266	1692	Arts & Entertainment\Music:0.818617
Instrumental	132.31054721807618	1668	Arts & Entertainment\Music:0.665
Pink Floyd	82.80836240776765	1632	Arts & Entertainment\Pop Culture & Celebrity News:0.9975,Health\Mental health:0.655128,Pets & Animals:0.878199,Arts & Entertainment\Books and Literature:0.95,Electronics & Computing\Audio Players & Systems:0.328563,Arts & Entertainment\Music:0.999979
Top 40	157.2170528049754	1613	Arts & Entertainment\Music:0.922249
Rhino Entertainment	48.9808043134009	1607	Arts & Entertainment\Pop Culture & Celebrity News:0.953087,Arts & Entertainment\Music:0.957463
Bassist	70.26328018427655	1593	Arts & Entertainment\Music:0.829057
Stylus Magazine	44.965089708315304	1589	Arts & Entertainment\Music:0.883085
Popular music	235.92000335876048	1581	Arts & Entertainment\Music:0.934031
