Corvette	67.13833151578486	370	Automotive\Manufacturers\Chevrolet:0.995781,Law-Government-Politics\Military:0.689056,Automotive\Boats & Watercraft:0.632859
Chevrolet	22.850549594233883	163	Automotive\Manufacturers\Chevrolet:1.0,Automotive\Manufacturers\G.M.:1.0,Automotive\Manufacturers\Opel:0.990072,Automotive:0.999522,Automotive\Pickup/Trucks & Accessories:0.991566,Automotive\Manufacturers\Ford:0.983425,Automotive\Manufacturers\Holden:0.992742
Flower-class corvette	22.24463658862507	100	Automotive\Manufacturers\Chevrolet:0.964062,Reference\Libraries & Museums\Museums:0.67767,Law-Government-Politics\Military:0.81789,Automotive\Boats & Watercraft:0.614199
Bathurst-class corvette	13.998843374466357	62	Automotive\Manufacturers\Chevrolet:0.889033,Automotive\Boats & Watercraft:0.708904,Law-Government-Politics\Military:0.674228,Automotive\Manufacturers\Jeep:0.654849,Reference\Libraries & Museums\Museums:0.65556
Castle-class corvette	9.463051470837899	36	Automotive\Manufacturers\Chevrolet:0.962405,Law-Government-Politics\Military:0.355102
Chevrolet Impala	3.2374276567902958	23	Automotive\Manufacturers\Chevrolet:0.998591,Automotive\Compact and Coupe:0.889552,Automotive\Manufacturers\G.M.:0.900037,Automotive\Manufacturers:0.960185,Automotive:0.996524,Automotive\Manufacturers\Ford:0.765771,Automotive\Manufacturers\Holden:0.773433
Oakland Assembly	1.7480160368677848	21	Automotive:0.77625,Automotive\Manufacturers\G.M.:0.924745,Automotive\Manufacturers\Chevrolet:0.976767
Chevrolet straight-6 engine	1.496250901480346	21	Automotive\Hybrid & Alternative Vehicle:0.668662,Automotive\Manufacturers\Chevrolet:0.999068,Automotive\Manufacturers\G.M.:0.882159,Automotive\Manufacturers\Opel:0.543106,Automotive\Pickup/Trucks & Accessories:0.867033,Automotive\Manufacturers\GMC:0.558576,Automotive\Manufacturers\Holden:0.582135
Oshawa Truck Assembly	1.1499476584033275	20	Automotive\Manufacturers\G.M.:0.667166,Automotive\Manufacturers\Chevrolet:0.74452,Automotive\Pickup/Trucks & Accessories:0.688103
Chevrolet Caprice	2.3201709219685904	18	Automotive\Manufacturers\Chevrolet:0.999408,Automotive\Compact and Coupe:0.954699,Automotive\Manufacturers\G.M.:0.862773,Automotive\Manufacturers:0.96267,Automotive:0.987615,Automotive\Sedan:0.728829,Automotive\Manufacturers\Holden:0.974409
GM A platform	1.1834971359606812	18	Automotive\Manufacturers\Chevrolet:0.991918,Automotive\Manufacturers\G.M.:0.983446,Arts & Entertainment\Pop Culture & Celebrity News:0.651,Automotive\Manufacturers\Opel:0.557217,Automotive:0.835059,Automotive\Manufacturers\Buick:0.795443,Automotive\Manufacturers\Holden:0.587269
Chevrolet small-block engine	2.113209121645221	14	Automotive\Hybrid & Alternative Vehicle:0.776642,Automotive\Manufacturers\Chevrolet:0.999225,Automotive\Manufacturers\G.M.:0.974968,Automotive:0.837418,Automotive\Manufacturers\Cadillac:0.882682,Automotive\Manufacturers\Buick:0.836052,Automotive\Manufacturers\Holden:0.754752
Chevrolet Chevelle	1.4983526693486338	13	Automotive\Manufacturers\Chevrolet:0.998968,Automotive\Compact and Coupe:0.963401,Automotive\Manufacturers\G.M.:0.871646,Automotive\Convertible & Sports cars:0.898872,Automotive\Manufacturers:0.960584,Automotive:0.995295,Automotive\Sedan:0.750807
Chevrolet Nomad	1.4409660841754417	13	Automotive\Manufacturers\Chevrolet:0.991125,Automotive\Compact and Coupe:0.930758,Automotive\Manufacturers\G.M.:0.794062,Automotive\Manufacturers:0.95665,Automotive\Concept Cars:0.689521,Automotive:0.979616,Automotive\Manufacturers\Holden:0.53131
GM B platform	1.2709066032949092	13	Automotive\Manufacturers\Chevrolet:1.0,Automotive\Manufacturers\G.M.:0.999999,Automotive:0.999201,Automotive\Manufacturers\Cadillac:0.999662,Automotive\Manufacturers\GMC:0.995462,Automotive\Manufacturers\Buick:1.0,Automotive\Manufacturers\Holden:0.999602
Chevrolet Biscayne	1.564563451140426	12	Automotive\Manufacturers\Chevrolet:0.992396,Automotive\Manufacturers\G.M.:0.816555,Automotive\Manufacturers\Opel:0.451158,Automotive\Manufacturers:0.95665,Automotive:0.978024,Automotive\Sedan:0.680567,Automotive\Manufacturers\Holden:0.471738
Visby-class corvette	4.868917021983548	11	Automotive\Manufacturers\Chevrolet:0.995781,Law-Government-Politics\Military:0.54305,Automotive\Boats & Watercraft:0.695655
Chevrolet Suburban	1.778818958474648	11	Automotive\Manufacturers\Chevrolet:0.995668,Automotive\SUV:0.981572,Automotive\Manufacturers\G.M.:0.896624,Automotive\Manufacturers:0.95889,Automotive:0.987298,Automotive\Pickup/Trucks & Accessories:0.953329,Automotive\Manufacturers\Holden:0.881515
List of ships of the Soviet Navy	1.7486808968433267	11	Automotive\Hybrid & Alternative Vehicle:0.783918,Automotive\Manufacturers\Chevrolet:1.0,Automotive\Boats & Watercraft:0.993165,Sports\Golf:0.878199,Law-Government-Politics\Military:0.988811,Travel\Air Travel:0.675515,Finance\Mortgages & Loans:0.878199
Grisha-class corvette	1.851547846985173	10	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.602683,Automotive\Boats & Watercraft:0.341252
Chevrolet Delray	0.8598861427707927	9	Automotive\Manufacturers\Chevrolet:0.998302,Automotive\Compact and Coupe:0.704662,Automotive\Manufacturers\G.M.:0.545793,Automotive\Manufacturers:0.960584,Automotive:0.974694,Automotive\Sedan:0.651,Automotive\Manufacturers\Holden:0.466883
Chevrolet Series 490	1.8059397949027023	9	Automotive\Manufacturers\G.M.:0.769753,Automotive:0.966907,Automotive\Manufacturers\Chevrolet:0.977581,Automotive\Manufacturers:0.954538
Espora-class corvette	4.962852385669751	9	Automotive\Manufacturers\Chevrolet:0.987406,Law-Government-Politics\Military:0.662698,Automotive\Boats & Watercraft:0.402546,Finance:0.651
Dick Thompson (racing driver)	1.2125	9	Automotive\Manufacturers\Chevrolet:0.999984,Sports:0.987378,Automotive\Convertible & Sports cars:0.683878,Sports\Motor Sports\Auto Racing:0.87267,Automotive:0.691075,Health\Oral & Dental Care:0.853329,Finance\Retirement & Pension:0.661749
Chevrolet Opala	1.765047986743029	9	Automotive\Manufacturers\Chevrolet:0.981402,Travel\Car rentals & Taxi services:0.673479,Automotive\Compact and Coupe:0.733021,Automotive\Manufacturers\Opel:0.933456,Automotive\Manufacturers:0.959188,Automotive:0.816676,Automotive\Manufacturers\Holden:0.618416
Louis Chevrolet	2.6653586062774393	9	Automotive\Manufacturers\Chevrolet:0.996064,Sports:0.95,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Motor Sports\Auto Racing:0.823781,Automotive:0.923698,Business:0.95,Automotive\Manufacturers\Ford:0.796174
American Flower-class corvettes	4.16171264379136	8	Automotive\Manufacturers\Chevrolet:0.668755
List of corvette and sloop classes of the Royal Navy	3.931387087530732	8	Automotive\Manufacturers\Chevrolet:0.887775,Negative\Firearms:0.46832,Law-Government-Politics\Military:0.795834,Automotive\Boats & Watercraft:0.69623
Comus-class corvette	0.9638974405944396	8	Automotive\Manufacturers\Chevrolet:0.665,Law-Government-Politics\Military:0.40356
Sa'ar 5-class corvette	4.859233039177452	8	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.584586,Automotive\Boats & Watercraft:0.857759
Richard Childress Racing	1.342503511528051	8	Automotive\Manufacturers\Chevrolet:0.996486,Sports:0.901433,Automotive\Manufacturers\G.M.:0.672858,Sports\Motor Sports\Auto Racing:0.76153,Automotive:0.993127,Travel\Hotels & Accommodations:0.670584,Sports\Motor Sports\NASCAR Racing:0.758856
Etna-class corvette	1.310516824428382	8	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.400569,Automotive\Boats & Watercraft:0.319336
D'Estienne d'Orves-class aviso	4.26096656626836	8	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.412565
Royal Australian Navy minesweeping after World War II	3.058469152122507	7	Automotive\Manufacturers\Chevrolet:0.890276,Law-Government-Politics\Military:0.448449
Chevrolet Chevette	1.4695501006001863	7	Automotive\Manufacturers\Chevrolet:0.99784,Automotive\Compact and Coupe:0.878518,Automotive\Manufacturers\G.M.:0.946514,Automotive\Manufacturers:0.960236,Automotive:0.993576,Automotive\Manufacturers\Vauxhall:0.671426,Automotive\Manufacturers\Holden:0.718648
Emilio Jacinto-class corvette	0.6522835774801259	7	Automotive\Manufacturers\Chevrolet:0.665,Electronics & Computing:0.651,Law-Government-Politics\Military:0.52021
QF 4 inch Mk XIX naval gun	3.448883848607856	7	Automotive\Manufacturers\Chevrolet:0.890276,Negative\Firearms:0.505408,Law-Government-Politics\Military:0.505017
Chevrolet Series D	1.1794498289590356	7	Automotive\Manufacturers\Chevrolet:0.999553,Automotive\Manufacturers\G.M.:0.682576,Automotive\Manufacturers\Opel:0.550877,Automotive\Manufacturers:0.962416,Automotive:0.99132,Automotive\Manufacturers\GMC:0.512094,Automotive\Manufacturers\Holden:0.591066
Chevrolet Kingswood	0.669267637410757	7	Automotive:0.967961,Automotive\Manufacturers\Chevrolet:0.987217,Automotive\Manufacturers:0.95665
Chevrolet Van	0.7768344599766029	7	Automotive\MiniVan & Van:0.645194,Automotive\Manufacturers\Chevrolet:0.996981,Automotive\Manufacturers\G.M.:0.865716,Automotive\Manufacturers:0.959207,Automotive:0.993081,Automotive\Pickup/Trucks & Accessories:0.625414,Automotive\Manufacturers\GMC:0.91686
2012 World Touring Car Championship season	0.7168376625226338	7	Automotive\Manufacturers\Chevrolet:0.680434,Sports\Motor Sports\Auto Racing:0.48468,Sports\Motor Sports:0.651
Kamorta-class corvette	0.7293055131605688	7	Automotive\Manufacturers\Chevrolet:0.665,Law-Government-Politics\Military:0.488358
Abhay-class corvette	0.6790810840668516	7	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.458137
Peacock-class corvette	0.6139132745932111	7	Automotive\Manufacturers\Chevrolet:0.962405,Law-Government-Politics\Military:0.446295
João Coutinho-class corvette	6.0908114590530404	7	Automotive\Manufacturers\Chevrolet:0.995781,Law-Government-Politics\Military:0.728927,Automotive\Boats & Watercraft:0.60927
Chevrolet Big-Block engine	0.9332840733533461	7	Automotive\Manufacturers\G.M.:0.590783,Automotive\Manufacturers\Chevrolet:0.989845,Automotive\Pickup/Trucks & Accessories:0.80997
French corvette Géographe	0.8703491999421293	6	Automotive\Manufacturers\Chevrolet:0.987406,Reference\Libraries & Museums\Museums:0.651,Automotive\Boats & Watercraft:0.432241
Black Swan-class sloop	0.7428605829801948	6	Automotive\Manufacturers\Chevrolet:0.665
Chevrolet 150	0.47092582200234	6	Automotive\Manufacturers\Chevrolet:0.995134,Automotive\Manufacturers\G.M.:0.472218,Automotive\Manufacturers:0.958664,Automotive:0.988103,Automotive\Manufacturers\Holden:0.386155
Type 056 corvette	1.060723111106137	6	Automotive\Manufacturers\Chevrolet:0.987406,Law-Government-Politics\Military:0.401989
Chevy Chase (Washington, D.C.)	2.0039739140624993	6	Automotive\Manufacturers\Chevrolet:0.957491
BRP Emilio Jacinto (PS-35)	0.7193017310413004	6	Automotive\Manufacturers\Chevrolet:0.665,Automotive\Boats & Watercraft:0.506944
Turboglide	0.5285706943988054	6	Automotive\Manufacturers\G.M.:0.807867,Automotive\Manufacturers\Chevrolet:0.991363
Corvette captain	4.051313555233833	6	Automotive\Manufacturers\Chevrolet:0.999947,Law-Government-Politics\Military:0.907772
Baudin expedition to Australia	1.4153639759837957	6	Automotive\Manufacturers\Chevrolet:0.887775
Pohang-class corvette	0.8371491079239928	6	Automotive\Manufacturers\Jeep:0.651,Automotive\Manufacturers\Chevrolet:0.962405,Law-Government-Politics\Military:0.430985
AK-257	1.0157279855122525	6	Automotive\Manufacturers\Chevrolet:0.887775,Negative\Firearms:0.618075,Law-Government-Politics\Military:0.462097
Braunschweig-class corvette	3.527822494191643	6	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.253562
Calypso-class corvette	0.8416975787147927	6	Automotive\Manufacturers\Chevrolet:0.887775,Style & Fashion:0.651,Style & Fashion\Fashion:0.654564
Atholl-class corvette	0.7278029305592939	6	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.387826,Automotive\Boats & Watercraft:0.542712
Chevrolet Lumina	1.3080283858288095	6	Automotive\MiniVan & Van:0.965797,Automotive\Manufacturers\Chevrolet:0.999855,Automotive\Compact and Coupe:0.995184,Arts & Entertainment\Pop Culture & Celebrity News:0.878199,Automotive\Manufacturers:0.964162,Automotive:0.990753,Automotive\Sedan:0.888518
Chevrolet Superior	0.6722442348270328	6	Automotive\Manufacturers\Chevrolet:0.995854,Automotive\Manufacturers\G.M.:0.815804,Automotive\Manufacturers\Opel:0.433107,Automotive\Manufacturers:0.958664,Automotive:0.96836,Automotive\Pickup/Trucks & Accessories:0.801759,Automotive\Manufacturers\Holden:0.461814
Zora Arkus-Duntov	2.3531098892553284	6	Automotive:0.685516,Automotive\Manufacturers\G.M.:0.694689,Automotive\Manufacturers\Chevrolet:0.746641
Chevrolet Orlando	1.2968242127837037	5	Automotive\Manufacturers\Chevrolet:0.976026,Automotive\Manufacturers\G.M.:0.433328,Automotive\Manufacturers:0.954538,Automotive\Concept Cars:0.651,Automotive:0.96408,Automotive\Manufacturers\Holden:0.365934
Göteborg-class corvette	1.2104766657793022	5	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.50839
Drummond-class corvette	1.0626924627181615	5	Automotive\Manufacturers\Chevrolet:0.887775,Law-Government-Politics\Military:0.505772,Sports\Game & Fishing:0.651,Automotive\Boats & Watercraft:0.483653
French corvette Revenant	0.8894568691406249	5	Automotive\Manufacturers\Chevrolet:0.887775,Finance\Banking:0.651,Automotive\Boats & Watercraft:0.520542
Nanuchka-class corvette	0.5614169826679194	5	Automotive\Manufacturers\Chevrolet:0.962405,Law-Government-Politics\Military:0.705221,Automotive\Boats & Watercraft:0.606157
French corvette Naturaliste	0.9690774099151233	5	Automotive\Manufacturers\Chevrolet:0.665,Automotive\Boats & Watercraft:0.310718
Super Sport	1.2688955348243909	5	Automotive\Manufacturers\Chevrolet:0.984186,Automotive\Compact and Coupe:0.67036,Automotive\Manufacturers\G.M.:0.833193,Automotive:0.542315,Automotive\Pickup/Trucks & Accessories:0.476724,Automotive\Manufacturers\Holden:0.865089
