Pulitzer Prize for Public Service	11.365996051757813	40	Law-Government-Politics\Social Services:0.994822,News\Newspapers:0.899774,Arts & Entertainment\Comics & Animation\Cartoons:0.651
Public service	6.832969480591183	36	Law-Government-Politics:0.765251,Law-Government-Politics\Social Services:0.998529,Business\Business Operations and Services:0.749737,Finance:0.651
Union Public Service Commission	4.620023209598439	22	Travel\Bus & Rail:0.661568,Law-Government-Politics:0.725324,Law-Government-Politics\Social Services:0.986959,Health:0.651
Public service announcement	4.7088190137939465	20	Law-Government-Politics\Social Services:0.985165
Social services	2.856054143010807	19	Finance\Grants & Financial assistance:0.878199,Law-Government-Politics\Social Services:0.999792,Health:0.682178,Food & Drink:0.655124,Education:0.669651
Public sector	4.074206362108071	17	Law-Government-Politics:0.718034,Law-Government-Politics\Social Services:0.758789,Health:0.737301
Public Services International	2.9398809757901883	17	Law-Government-Politics:0.831582,Law-Government-Politics\Social Services:0.999979,Health:0.913608,Business\Business Operations and Services:0.488618
Indian Administrative Service	1.6966945354026515	14	Law-Government-Politics:0.983218,Law-Government-Politics\Social Services:0.988338,Finance\Retirement & Pension:0.896952,Careers\Job Search:0.436071
Australian Public Service	4.291594547841013	14	Law-Government-Politics\Social Services:0.994822,Law-Government-Politics\Politics:0.95
Public Works and Government Services Canada	3.193154692086493	13	Law-Government-Politics\Social Services:0.99978,Finance\Banking:0.675645,Business\Business Operations and Services:0.432492,Finance:0.897987
Secretary of State for Social Services	2.075490712241955	13	Law-Government-Politics:0.651,Law-Government-Politics\Social Services:0.88207
Indian Police Service	1.6622748571749073	12	Law-Government-Politics\Social Services:0.682505
Public utility	4.413034081499226	12	Law-Government-Politics:0.670947,Law-Government-Politics\Social Services:0.905842,Business\Energy & Utilities:0.608357
Infrastructure	2.5853988790450075	11	Law-Government-Politics\Social Services:0.797748,Business\Business Operations and Services:0.774358
Civil Services Examination	1.8782974513118111	9	Law-Government-Politics:0.698183,Law-Government-Politics\Social Services:0.885731
Civil and Public Services Association	2.348989056914032	8	Law-Government-Politics\Social Services:0.883018
Public Service Alliance of Canada	1.8182435946056041	8	Law-Government-Politics:0.703065,Law-Government-Politics\Social Services:0.986204,Finance\Retirement & Pension:0.73403,Food & Drink:0.651
Civilian Public Service	2.626072312499999	8	Health\Mental health:0.651,Law-Government-Politics\Social Services:0.985636,Law-Government-Politics:0.682622,Health:0.585273,Business\Agriculture & Forestry:0.906972
Public Service Medal (Australia)	1.3560051099593549	8	Law-Government-Politics:0.651,Law-Government-Politics\Social Services:0.99825
Minister of Public Works and Government Services	2.844139044183639	7	Law-Government-Politics\Social Services:0.985466
Public broadcasting	2.107755276243694	7	Law-Government-Politics\Social Services:0.70383,Finance:0.659126
Transport of New Jersey	1.5251346677808486	7	Business\Business Operations and Services:0.568323,Law-Government-Politics\Social Services:0.999783,Sports\Bicycling & Cycling:0.463635,Travel:0.658035,Travel\Bus & Rail:0.998816
Civil service commission	0.7434499986014661	6	Law-Government-Politics:0.896909,Law-Government-Politics\Social Services:0.961727
State Services Commission	0.9608705204671224	6	Law-Government-Politics:0.878199,Law-Government-Politics\Social Services:0.995523,Law-Government-Politics\Politics:0.95,Business\Business Operations and Services:0.27403
List of trade unions	0.9622689672630464	6	Law-Government-Politics\Social Services:1.0,Law-Government-Politics:1.0,Law-Government-Politics\Military:0.999994,Business\Agriculture & Forestry:1.0,Education:0.999998,Travel\Bus & Rail:1.0,Finance\Retirement & Pension:0.999999
Jefferson Awards for Public Service	1.1391924299999998	6	Law-Government-Politics\Social Services:0.878199,Health:0.214162
