Dog	72.44028241862723	890	Pets & Animals\Dogs:0.999096,Business\Agriculture & Forestry:0.467399,Pets & Animals:0.930826,Sports\Game & Fishing:0.695488
Dog breed	20.763101023408613	451	Pets & Animals\Dogs:0.999163
American Kennel Club	14.310749097434803	281	Pets & Animals\Dogs:0.990992,Arts & Entertainment\Books and Literature:0.95,Pets & Animals:0.209009
Fédération Cynologique Internationale	10.733735460146766	243	Pets & Animals\Dogs:0.521917
Withers	7.911960046326778	193	Pets & Animals\Dogs:0.896636,Business\Agriculture & Forestry:0.386273,Pets & Animals:0.750455
German Shepherd	10.84963298884741	193	Pets & Animals\Dogs:0.995494,Lifestyle\Dating:0.651
Conformation show	9.176051224656677	171	Pets & Animals\Dogs:0.999217,Business\Agriculture & Forestry:0.393037
Dog type	5.850311077411161	154	Pets & Animals\Birds:0.720774,Pets & Animals\Dogs:0.999999,Business\Agriculture & Forestry:0.437361
Coat (dog)	6.54904606427607	151	Pets & Animals\Dogs:0.997484,Pets & Animals:0.803433
The Kennel Club	7.7097501129523165	150	Pets & Animals\Dogs:0.999999,Business\Agriculture & Forestry:0.477669,Pets & Animals:0.40785,Family & Parenting\Toys:0.881893
Hip dysplasia (canine)	9.214511250775262	147	Health\Health Conditions\Arthritis:0.903154,Pets & Animals\Cats:0.658563,Pets & Animals\Dogs:0.994164,Pets & Animals:0.7327,Pets & Animals\Pet Care:0.651
United Kennel Club	5.468125211205431	139	Pets & Animals\Dogs:1.0,Business\Agriculture & Forestry:0.561737,Pets & Animals:0.45737,Family & Parenting:0.965642,Sports\Game & Fishing:0.708258
Labrador Retriever	7.3966755948881815	135	Pets & Animals\Dogs:0.999901,Health\Health Conditions\Autism/PDD:0.651
Poodle	5.652592822125094	128	Pets & Animals\Dogs:0.999995,Family & Parenting\Toys:0.995074,Games\Board games & Puzzles:0.389337
