E-commerce	23.150681205990484	129	Business\Advertising & Marketing:0.665,Finance:0.639785,Shopping\Shopping portals:0.750112
Online shopping	18.054117893312355	107	Shopping:0.753376,Food & Drink\Grocery & Food Retailers:0.492317,Business\Business Operations and Services:0.790004,Shopping\Retail stores and malls:0.741977,Shopping\Coupons & Discount offers:0.698077,Shopping\Shopping portals:1.0
Online marketplace	4.70354180124629	13	Shopping\Shopping portals:0.881203
Shopping cart software	3.32568682371898	12	Electronics & Computing\Software:0.585056,Shopping\Shopping portals:0.844401
Alibaba Group	4.369382788510173	12	Shopping\Consumer Affairs & Product reviews:0.691292,Finance\Investing\Stocks:0.713443,Finance:0.804267,Shopping\Shopping portals:0.935687
Affiliate marketing	2.821791317702533	10	Shopping:0.459872,Business\Business Operations and Services:0.551629,Internet & Telecom\Search Engines:0.913918,Business\Small business:0.465534,Business\Advertising & Marketing:0.887775,Finance:0.688345,Shopping\Shopping portals:0.935956
Cyber Monday	2.036100468405648	10	Home & Garden\Kitchen and Dining:0.671423,Style & Fashion\Fashion:0.678383,Style & Fashion:0.668281,Business\Advertising & Marketing:0.665,Style & Fashion\Footwear:0.69068,Style & Fashion\Clothing:0.708423,Shopping\Shopping portals:0.98792
E-commerce in India	1.9521872490450998	10	Shopping\Shopping portals:0.646732
Groupon	4.224352544568095	10	Shopping\Shopping portals:0.703331
Tmall	2.4303550377131913	7	Shopping\Shopping portals:0.940144
Rakuten	2.128009041074399	6	Shopping:0.676474,Finance\Investing:0.727293,Shopping\Shopping portals:0.84069
Taobao	2.6125050857979772	6	Style & Fashion\Skin & Facial Care:0.651,Shopping\Auctions:0.902158,Style & Fashion\Cosmetic procedures:0.651,Business\Small business:0.663765,Shopping\Shopping portals:0.986356
Snapdeal	2.4521785833632355	6	Shopping\Shopping portals:0.731978
Costco	0.6419487182291667	4	Food & Drink\Grocery & Food Retailers:0.632866,Shopping\Shopping portals:0.697514
Chrome Web Store	0.66	4	Electronics & Computing\Cell Phone & PDA:0.576746,Electronics & Computing\Software:0.57666,Shopping\Shopping portals:0.994973
Mobile commerce	2.321661688827676	4	Shopping\Shopping portals:0.911029
Singles Day	2.063384940633392	4	Business\Advertising & Marketing:0.665,Shopping\Shopping portals:0.793341
CafePress	0.4405030490234375	4	Shopping\Shopping portals:0.882399
Rocket Internet	0.45968074971516915	4	Style & Fashion\Clothing:0.651,Shopping\Shopping portals:0.730619
Infibeam	0.5368482857812428	3	Electronics & Computing:0.67978,Electronics & Computing\Consumer Electronics:0.694046,Shopping\Shopping portals:0.912077
Group buying	2.044665518109473	3	Shopping:0.518166,Shopping\Shopping portals:0.71228
LivingSocial	1.3645543811645373	3	Shopping\Shopping portals:0.682666
Cashback website	0.5843633477841151	3	Shopping\Shopping portals:0.288983
Ticketmaster	0.6779221171875	3	Shopping\Shopping portals:0.651
Shop Direct Group	0.41396105859375	2	Shopping:0.862161,Shopping\Shopping portals:0.988208
