National Basketball Association	180.2807196267051	6737	Sports\Basketball:1.0,Sports:0.98005,Sports\Baseball:0.586068
Center (basketball)	81.94776963382319	3631	Sports\Basketball:0.999993,Health:0.771722,Sports\Baseball:0.496461,Careers:0.651,Finance\Retirement & Pension:0.882989
Point guard	67.248986083513	3010	Sports\Basketball:0.909258,Sports\Football:0.693321
Power forward (basketball)	59.13471457757829	2995	Sports\Basketball:0.977866,Sports:0.89527
Shooting guard	56.85385586200667	2928	Sports\Basketball:0.979158,Health:0.382459
Basketball positions	75.94033462829336	2866	Sports\Basketball:0.865238
Small forward	52.316384415638595	2609	Sports\Basketball:0.999394,Finance\Retirement & Pension:0.651,Health:0.527568
Los Angeles Lakers	41.65301952342778	2217	Sports:0.973401,Sports\Basketball:1.0,Health:0.382459,Sports\Baseball:0.691078,Finance\Retirement & Pension:0.957491
Boston Celtics	42.9247931898738	2131	Pets & Animals\Birds:0.651,Sports\Basketball:1.0,Sports:0.964307,Sports\Baseball:0.473878
AP Poll	26.269356003597935	2005	Sports\Basketball:0.963877,Sports\Football:0.371339,Sports:0.805702
Philadelphia 76ers	37.327169371637076	1999	Sports\Basketball:0.999998,Sports:0.960534,Sports\Baseball:0.354991
New York Knicks	40.30057249097728	1983	Sports\Basketball:1.0,Sports:0.966665,Sports\Baseball:0.687109
Rebound (basketball)	37.83440957083543	1955	Sports\Basketball:0.98801,Sports:0.296874
Point (basketball)	37.29301115622946	1942	Sports\Basketball:0.907969
Detroit Pistons	36.45251590327222	1938	Sports\Basketball:0.999618,Sports:0.986215,Sports\Baseball:0.173774
Atlanta Hawks	35.00953473951134	1873	Sports\Basketball:1.0,Sports:0.968822,Sports\Baseball:0.41066
Golden State Warriors	35.95719131551509	1845	Sports:0.967447,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Arts & Entertainment\Movies/Television:0.95,Sports\Basketball:0.999999,Sports\Baseball:0.413706
