Postage stamp	48.18261646727875	502	Law-Government-Politics:0.669939,Arts & Entertainment\Hobbies\Stamps & Coins:0.997164,Finance\Insurance:0.680885,Style & Fashion\Beauty:0.655723,Arts & Entertainment\Hobbies:0.728545,Shopping\Gifts & Special Event Items\Cards & Greetings:0.811725
Roll of Distinguished Philatelists	32.07561322163959	246	Arts & Entertainment\Hobbies\Stamps & Coins:0.678817,Health\Health Conditions\A.D.D.:0.651
Philately	27.924100860327513	314	Arts & Entertainment\Hobbies\Stamps & Coins:0.889388,Reference\Libraries & Museums\Museums:0.676369
Postal history	15.722916137421073	257	Shopping\Auctions:0.651,Arts & Entertainment\Hobbies\Stamps & Coins:0.683059
Royal Philatelic Society London	14.70419427895437	153	Arts & Entertainment\Hobbies\Stamps & Coins:0.545385
United States dollar	14.304296988423527	133	Arts & Entertainment\Hobbies\Stamps & Coins:0.446561
Stamp collecting	12.580766321619864	98	Arts & Entertainment\Hobbies\Stamps & Coins:0.972088,Arts & Entertainment\Hobbies\Antiques & Collectables:0.675618,Arts & Entertainment\Hobbies:0.670559
Overprint	10.797731001680011	160	Arts & Entertainment\Hobbies\Stamps & Coins:0.871521
Postal stationery	9.564231013501265	85	Arts & Entertainment\Hobbies\Stamps & Coins:0.558462
Stanley Gibbons	9.184192386108327	174	Arts & Entertainment\Hobbies\Stamps & Coins:0.860577,Arts & Entertainment\Hobbies\Antiques & Collectables:0.665295
Shilling	8.529678836288927	125	Arts & Entertainment\Hobbies\Stamps & Coins:0.514451,Style & Fashion\Jewelry:0.389189
Stamp catalog	6.924953847619685	35	Arts & Entertainment\Hobbies\Stamps & Coins:0.957974
Philatelic literature	6.868596540048531	125	Arts & Entertainment\Books and Literature:0.231241,Arts & Entertainment\Hobbies\Stamps & Coins:0.617011
Cent (currency)	6.825698528380328	109	Arts & Entertainment\Hobbies\Stamps & Coins:0.365374
Postmark	6.687656543238182	48	Arts & Entertainment\Hobbies\Stamps & Coins:0.753954
Definitive stamp	6.644129459226912	84	Arts & Entertainment\Hobbies\Stamps & Coins:0.457288
Decimal Day	6.4093337773935914	33	Arts & Entertainment\Hobbies\Stamps & Coins:0.479842
French franc	6.389716757962894	53	Arts & Entertainment\Hobbies\Stamps & Coins:0.373951
