AllMusic	2225.106887031583	66356	Arts & Entertainment\Music:0.883085
Rock music	1071.9270006713343	27252	Arts & Entertainment\Movies/Television:0.482308,Arts & Entertainment\Music:0.992579
Pop music	1058.8242108906863	26006	Arts & Entertainment\Movies/Television:0.958247,Arts & Entertainment\Music:0.998497
List of online music databases	1034.9477856999792	25	Reference\Libraries & Museums\Libraries:0.964644,Games\Video & Computer Games:0.907518,Electronics & Computing\Software:0.999999,Arts & Entertainment\Radio:0.816526,Electronics & Computing\Audio Players & Systems:0.803948,Arts & Entertainment\Music:1.0,Online communities\Social networking:0.774109
Bass guitar	963.747123127638	28615	Arts & Entertainment\Music:0.892585
Jazz	894.1359974785747	17665	Arts & Entertainment\Music:0.910422,Family & Parenting:0.651
AllMovie	835.5215540054991	33	Arts & Entertainment\Movies/Television:0.884747,Arts & Entertainment\Music:0.960833,Electronics & Computing\Software:0.878199
Billboard (magazine)	699.6963957030598	22354	Arts & Entertainment\Music:0.738584
Billboard Hot 100	693.1023767223805	19494	Arts & Entertainment\Music:0.698772
Alternative rock	638.4132506927394	18037	Home & Garden\DIY:0.807193,Arts & Entertainment\Music:0.93393,News\Newspapers:0.670632
Hip hop music	558.2485131613948	12882	Arts & Entertainment\Music:0.826077
Country music	536.7175092150454	13116	Arts & Entertainment\Music:0.499832
Composer	515.0172354889912	6352	Arts & Entertainment\Pop Culture & Celebrity News:0.95,Health:0.413635,Arts & Entertainment\Music:0.95
Record producer	511.6505663090883	14502	Health:0.618643,Arts & Entertainment\Music:0.740754,Finance:0.651
Indie rock	438.87737020541755	10946	Arts & Entertainment\Music:0.926549
Rhythm and blues	400.77973779984643	8623	Home & Garden\Bed and bath:0.651,Arts & Entertainment\Music:0.958856
Hard rock	354.72243456113574	10312	Careers:0.651,Arts & Entertainment\Music:0.694166
Pitchfork Media	331.3270699769222	9033	News:0.665,Arts & Entertainment\Music:0.718251
Songwriter	313.20965957791265	5853	Law-Government-Politics:0.664721,Careers:0.660959,Arts & Entertainment\Music:0.698772
AMG LASSO	306.73735715550464	1	Electronics & Computing:0.907971,Electronics & Computing\Software:0.764589,Electronics & Computing\Game systems:0.567113,Electronics & Computing\Hardware:0.597486,Electronics & Computing\Audio Players & Systems:0.891497,Arts & Entertainment\Music:0.963232
Soul music	292.1180828321311	7712	Arts & Entertainment\Music:0.798562
Grammy Award	288.6167991273742	5962	Arts & Entertainment\Movies/Television:0.885949,Arts & Entertainment\Music:0.909261
Pop rock	285.1133490561075	8506	Arts & Entertainment\Music:0.995134
Blues	284.9720052334674	4903	Arts & Entertainment\Movies/Television:0.458198,Arts & Entertainment\Music:0.977735,Lifestyle\Religion and Belief:0.732938
Rock and roll	270.35697590607083	4222	Style & Fashion:0.655742,Family & Parenting\Kids & Teens:0.677541,Arts & Entertainment\Music:0.785273,Style & Fashion\Fashion:0.655742
Electric guitar	268.2029661660601	7017	Electronics & Computing:0.622805,Electronics & Computing\Audio Players & Systems:0.538449,Arts & Entertainment\Music:0.880531,Health\Health Conditions\A.D.D.:0.66727
