Regional routes (South Africa)	12.649953254025064	86	Automotive\Off-Road Vehicles:0.30168
Off-road vehicle	10.544711753817408	53	Sports\Motor Sports:0.687454,Automotive\Engineering Vehicles:0.506047,Automotive\Off-Road Vehicles:0.998722,Automotive\Motorcycles:0.676067,Travel:0.90797
Gravel road	8.699334053523032	9	Automotive\Off-Road Vehicles:0.402302
List of roads in the Isle of Man	7.688762487152969	23	Health\Mental health\Psychology/Psychiatry:0.402609,Automotive\Off-Road Vehicles:0.999983,Lifestyle\Wedding & Engagement:0.432461,Business\Agriculture & Forestry:0.70426,Lifestyle\Dating:0.999594,Travel:0.87999
List of streets and roads in Hong Kong	7.230188250491944	36	Automotive\Off-Road Vehicles:0.368556
Four-wheel drive	7.126920820635045	27	Automotive:0.778655,Automotive\SUV:0.648731,Automotive\Off-Road Vehicles:0.840974
Road surface	6.148691484764485	9	Automotive\Off-Road Vehicles:0.2697
List of county roads and former state roads in Seminole County, Florida	5.476363322345026	3	Automotive\Off-Road Vehicles:0.347476
R328 road (South Africa)	5.0762196241840085	2	Automotive\Off-Road Vehicles:0.303181
Great Britain road numbering scheme	4.7011076991838845	31	Automotive\Off-Road Vehicles:0.279918
Off-roading	4.116290182931899	11	Automotive\Off-Road Vehicles:0.824975,Sports\Outdoors:0.657988
Dune buggy	3.328013689895916	4	Sports\Boxing:0.651,Automotive:0.696514,Automotive\Campers & RVs:0.670818,Automotive\Off-Road Vehicles:0.920311
Swedish national road	3.31121606046382	11	Automotive\Off-Road Vehicles:0.388956
Regional road	3.1017782867134276	22	Automotive\Off-Road Vehicles:0.347476
List of roads zones in Great Britain	3.005118542114511	15	Automotive\Off-Road Vehicles:0.661655
London Inner Ring Road	2.7788670926873187	21	Automotive\Off-Road Vehicles:0.601279
National primary road	2.7636385527668565	18	Automotive\Off-Road Vehicles:0.231037
Voivodeship road	2.665574999999999	20	Automotive\Off-Road Vehicles:0.255879
A roads in Zone 3 of the Great Britain numbering scheme	2.60888131140449	34	Automotive\Off-Road Vehicles:0.231037
List of former state roads in Florida	2.4999633243452464	15	Automotive\Off-Road Vehicles:0.587968
