School district	168.28728893727293	1240	Law-Government-Politics:0.690565,Education:0.435585,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.805347
Primary school	157.97834966410147	417	Law-Government-Politics:0.378582,Education\Childhood Education\Primary & Secondary Schooling (K-12):1.0,Family & Parenting\Daycare/Pre School:0.993957,Home & Garden\Swimming pools and spa:0.334619,Education:0.991704
Primary education	79.53029909697986	143	Education\Childhood Education:0.656638,Education:0.543947,Family & Parenting\Daycare/Pre School:0.622192,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.999498
Middle school	73.75889041265906	258	Education:0.905754,Family & Parenting\Daycare/Pre School:0.576622,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.977373
Social studies	44.502230799756134	21	Health\Mental health\Psychology/Psychiatry:0.808616,Law-Government-Politics:0.485092,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.952438,Education:0.907,Online communities\Social networking:0.587078
Blab school	32.08308731111891	4	Education:0.841409,Family & Parenting\Daycare/Pre School:0.528354,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.877441
First grade	30.603715027567244	15	Education:0.725071,Family & Parenting\Daycare/Pre School:0.785728,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.919779
Junior school	29.36871493391209	13	Education:0.937697,Family & Parenting\Daycare/Pre School:0.430134,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.950947
Elementary school (United States)	29.146953914973878	4	Education:0.528009,Family & Parenting\Daycare/Pre School:0.62737,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.992302
Elementary schools in Japan	28.8363933427701	3	Education:0.77873,Family & Parenting\Daycare/Pre School:0.799554,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.812168
Unified school district	21.928526239039066	35	Education:0.820482,Family & Parenting\Daycare/Pre School:0.735033,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.989328
Primary School Leaving Examination	19.05849865352326	4	Education:0.941866,Family & Parenting\Daycare/Pre School:0.512088,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.967591
List of the largest school districts in the United States by enrollment	18.679909792798593	4	Health\Mental health\Psychology/Psychiatry:0.88561,Business\Business Operations and Services:0.793321,Law-Government-Politics:0.965578,Education\Childhood Education\Primary & Secondary Schooling (K-12):1.0,Family & Parenting\Daycare/Pre School:0.999642,Home & Garden\Swimming pools and spa:0.987338,Education:1.0
Intermediate school district	17.92152166922128	2	Education\Childhood Education\Primary & Secondary Schooling (K-12):0.581174
List of education districts in Queensland	17.737763393357152	2	Health\Mental health\Psychology/Psychiatry:0.620616,Business\Business Operations and Services:0.50787,Law-Government-Politics:0.782182,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.999272,Family & Parenting\Daycare/Pre School:0.96694,Home & Garden\Swimming pools and spa:0.855595,Education:0.998364
School district drug policies	17.65494041922128	1	Education\Childhood Education\Primary & Secondary Schooling (K-12):0.532571
List of school districts in Texas	16.564328679439594	211	Food & Drink\Non-Alcoholic Beverages\Coffee/Tea:0.651,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.946927,Education\College and University:0.674574,Family & Parenting\Daycare/Pre School:0.712392,Home & Garden\Swimming pools and spa:0.502469,Education:0.939688,Home & Garden:0.688313
List of schools in North Queensland	15.17817909718798	3	Education:0.861523,Family & Parenting\Daycare/Pre School:0.81211,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.878615
Key Stage 1	12.018226162287977	11	Education:0.821791,Family & Parenting\Daycare/Pre School:0.477924,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.98975,Health\Aging and Geriatrics:0.651
Eleven plus exam	9.965465918385524	6	Education:0.654157,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.969654,Finance:0.651
Lists of schools in Queensland	7.231881319071492	14	Law-Government-Politics:0.53329,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.976001,Family & Parenting\Daycare/Pre School:0.818175,Home & Garden\Swimming pools and spa:0.626787,Education:0.896221
List of high schools in Texas	5.492840407279537	93	Sports:1.0,Sports\Wrestling:1.0,Education\Childhood Education\Primary & Secondary Schooling (K-12):1.0,Style & Fashion\Fitness:1.0,Lifestyle\Dating:1.0,Family & Parenting\Daycare/Pre School:0.999998,Education:1.0
List of school districts in Ontario	5.204491953269929	27	Education:0.696591,Family & Parenting\Daycare/Pre School:0.667674,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.861383
List of high schools in Ontario	5.188992897028018	30	Negative\Mature/Adult:0.999997,Sports:0.99998,Education\Childhood Education\Primary & Secondary Schooling (K-12):1.0,Style & Fashion\Fitness:1.0,Lifestyle\Dating:1.0,Family & Parenting:0.999992,Education:1.0
National Association of Independent Schools	5.167471171109614	13	Education:0.513311,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.739969
English District (LCMS)	5.13072984330935	18	Education:0.452693,Family & Parenting\Daycare/Pre School:0.786089,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.820797
