Infant	19.401374316472534	122	Health\Pediatrics:0.441483,Pets & Animals:0.885604,Family & Parenting:0.694665,Family & Parenting\Pregnancy:0.742287,Family & Parenting\Babies & Toddlers:1.0
Breastfeeding	6.179563203095339	43	Home & Garden\Kitchen and Dining:0.961189,Family & Parenting\Kids & Teens:0.910391,Health:0.999763,Family & Parenting:0.999997,Health\Health Conditions\IBS/Crohn's Disease:0.895296,Family & Parenting\Babies & Toddlers:1.0,Health\Nutrition:0.989926
Sudden infant death syndrome	5.150642903651559	25	Health\Pediatrics:0.741592,Health\Aging and Geriatrics:0.538303,Health:0.612562,Home & Garden\Bed and bath:0.909486,Health\Health Conditions:0.953579,Family & Parenting:0.445916,Family & Parenting\Babies & Toddlers:0.999849
Baby (director)	4.431772157532498	34	Family & Parenting\Babies & Toddlers:0.957491
Word	4.4094703048307435	28	Family & Parenting\Babies & Toddlers:0.429877
Toddler	4.355819198330132	27	Family & Parenting\Babies & Toddlers:0.985775
Infant formula	4.082976254964595	22	Home & Garden\Kitchen and Dining:0.967072,Health:0.98227,Family & Parenting:0.920184,Food & Drink\Cooking & Recipes:0.917973,Food & Drink:0.99937,Family & Parenting\Babies & Toddlers:0.999996,Health\Nutrition:0.996835
Affix	4.010048196451497	18	Family & Parenting\Babies & Toddlers:0.154724
Preterm birth	3.977994195353295	24	Family & Parenting\Babies & Toddlers:0.99326,Health\Health Conditions:0.95,Family & Parenting\Pregnancy:0.684789
Diaper	3.1156696519767246	18	Family & Parenting\Babies & Toddlers:0.969078,Style & Fashion\Clothing:0.949112,Family & Parenting:0.732714
Be My Baby	2.9122468593749997	9	Family & Parenting\Babies & Toddlers:0.985165,Arts & Entertainment\Music:0.95192,Reference\Libraries & Museums\Libraries:0.651
CD Baby	2.862497554687499	9	Electronics & Computing\Game systems:0.645094,Electronics & Computing\Hardware:0.576557,Education:0.663528,Family & Parenting\Babies & Toddlers:0.999369,Electronics & Computing\Audio Players & Systems:0.826297,Arts & Entertainment\Music:0.995803
Child development	2.8463049845930644	16	Health\Mental health\Psychology/Psychiatry:0.899636,Family & Parenting\Kids & Teens:0.985237,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.871032,Family & Parenting\Daycare/Pre School:0.883156,Family & Parenting:0.979053,Education:0.879303,Family & Parenting\Babies & Toddlers:0.992768
Rock Your Baby	2.8289121548037137	12	Family & Parenting\Babies & Toddlers:0.995102,Pets & Animals\Cats:0.651,Arts & Entertainment\Music:0.964064
Infant mortality	2.806409719714044	18	Health\Aging and Geriatrics:0.637093,Health:0.820484,Family & Parenting:0.833797,Education:0.737514,Health\Health Conditions\IBS/Crohn's Disease:0.821108,Family & Parenting\Babies & Toddlers:0.900551
François Baby (businessman)	2.789941468809	10	Health:0.732709,Law-Government-Politics\Politics:0.665,Family & Parenting:0.798253,Business:0.693825,Education:0.670136,Family & Parenting\Babies & Toddlers:0.999415
Suga Suga	2.783590494140624	6	Family & Parenting\Babies & Toddlers:0.994822,Arts & Entertainment\Music:0.951084
Neonatal intensive care unit	2.778147023743136	18	Family & Parenting\Babies & Toddlers:0.975559,Health:0.574965,Health\Pharmacy:0.654705
Pelvis	2.7569481623132357	7	Family & Parenting\Babies & Toddlers:0.651
Baby boomers	2.5305643981159034	6	Finance\Grants & Financial assistance:0.651,Family & Parenting\Kids & Teens:0.725419,Food & Drink:0.651,Education:0.684471,Style & Fashion\Clothing:0.679493,Family & Parenting\Babies & Toddlers:0.882199,Finance\Retirement & Pension:0.654891
Massacre of the Innocents	2.5229755575892328	7	Family & Parenting\Babies & Toddlers:0.883211,Lifestyle\Religion and Belief:0.486902
Baby I'm Back (song)	2.44851893359375	5	Family & Parenting\Babies & Toddlers:0.985165,Arts & Entertainment\Music:0.95
Pelvimetry	2.411025041528566	2	Family & Parenting\Babies & Toddlers:0.668058,Family & Parenting\Pregnancy:0.401243
Baby food	2.3954086493720412	17	Home & Garden\Kitchen and Dining:0.701872,Business\Agriculture & Forestry:0.459928,Food & Drink\Cooking & Recipes:0.655465,Food & Drink:0.957491,Family & Parenting\Babies & Toddlers:0.970673
Infant respiratory distress syndrome	2.3793093210985914	16	Health\Health Conditions\Diabetes:0.727994,Health\Health Conditions:0.95,Family & Parenting:0.718204,Family & Parenting\Pregnancy:0.508413,Health\Health Conditions\Heart Disease:0.737473,Family & Parenting\Babies & Toddlers:0.997302
Baby transport	2.3739656859515286	13	Automotive:0.677772,Sports\Bicycling & Cycling:0.714831,Family & Parenting\Babies & Toddlers:0.98576
Attachment theory	2.3136062627016387	15	Health\Mental health\Psychology/Psychiatry:0.887799,Health\Mental health:0.718042,Family & Parenting\Kids & Teens:0.669921,Family & Parenting\Daycare/Pre School:0.412629,Family & Parenting:0.997138,Health\Health Conditions\Depression:0.745219,Family & Parenting\Babies & Toddlers:1.0
