Lady of the Bedchamber	9.97913798133812	34	Law-Government-Politics:0.670477,Home & Garden\Bed and bath:0.999369
Mattress	9.96560020643836	72	Style & Fashion\Cosmetic procedures:0.670425,Home & Garden\Bed and bath:1.0,Shopping\Luxury goods:0.651,Style & Fashion\Skin & Facial Care:0.670425
Bed	7.165271386680324	38	Home & Garden\Home Furnishing:0.651,Home & Garden\Furniture & Decorating:0.65882,Home & Garden\Bed and bath:0.999997
Nonpartisan blanket primary	6.850271282716648	29	Law-Government-Politics:0.545134,Home & Garden\Bed and bath:0.878199
Pillow	6.567430898069605	43	Style & Fashion\Beauty:0.651,Home & Garden\Bed and bath:1.0
Bed (geology)	5.560487635089263	20	Home & Garden\Bed and bath:0.831869,Sciences\Earth science:0.474888
Blanket	4.913661376714362	31	Style & Fashion\Beauty:0.670338,Home & Garden\Bed and bath:1.0
Bedding	4.604115089106535	42	Style & Fashion\Beauty:0.658026,Home & Garden\Bed and bath:1.0
Bathroom	4.037734264188897	30	Home & Garden\Bed and bath:0.993824,Home & Garden:0.879645
Discontinuity (geotechnical engineering)	3.820848916720226	1	Home & Garden\Bed and bath:0.72641
Gentleman of the Bedchamber	3.2791837340959815	15	Home & Garden\Bed and bath:0.878199
Toilet	3.2649333523251967	22	Health:0.560793,Shopping\Luxury goods:0.658736,Home & Garden\Bed and bath:0.987143,Health\Health Conditions\IBS/Crohn's Disease:0.589357,Health\Nutrition:0.548644
Pillow lava	3.2556552450086804	18	Home & Garden\Bed and bath:0.994822,Sciences\Earth science:0.202399
Futon	3.1611158259050147	16	Home & Garden\Home Furnishing:0.651,Home & Garden\Furniture & Decorating:0.651,Home & Garden\Bed and bath:1.0
Quilt	3.099493557115977	15	Style & Fashion\Beauty:0.878199,Home & Garden\Bed and bath:0.985631,Style & Fashion\Clothing:0.821668
Blanket primary	2.875744534993375	8	Law-Government-Politics:0.602481,Family & Parenting\Adoption:0.668724,Home & Garden\Bed and bath:0.999997
Duvet	2.425183059702283	15	Home & Garden\Bed and bath:0.999174
Bedroom	2.4005433949140893	13	Home & Garden\Bed and bath:0.971486
California Democratic Party v. Jones	2.3629009351010986	4	Law-Government-Politics:0.414833,Home & Garden\Bed and bath:0.651
Dike (geology)	2.3325463185417576	6	Home & Garden\Bed and bath:0.72641,Sciences\Earth science:0.386993
Tempur-Pedic	2.2895915921964356	10	Home & Garden\Bed and bath:0.994006,Education\College and University:0.883085,Finance\Investing\Stocks:0.495483,Shopping\Shopping portals:0.667488
Shower	2.165942715074909	14	Home & Garden\Bed and bath:0.705133
Bed sheet	2.1623991911706324	17	Home & Garden\Bed and bath:0.999765
Flush toilet	2.078371930821509	10	Home & Garden\Bed and bath:0.835816
Bathtub	2.0405638577209606	12	Home & Garden\Bed and bath:0.898893,Automotive\Manufacturers\Buick:0.651,Home & Garden\Swimming pools and spa:0.515709
Torus	2.0368016424269406	4	Home & Garden\Bed and bath:0.397679
Shale	2.0039817009526386	14	Home & Garden\Bed and bath:0.651
Woman of the Bedchamber	1.8944869947203775	8	Lifestyle\Wedding & Engagement:0.657205,Home & Garden\Bed and bath:0.999369
Washington Initiative 872	1.8846400567864525	3	Home & Garden\Bed and bath:0.651
Comforter	1.7667576208158762	12	Home & Garden\Bed and bath:1.0,Style & Fashion\Clothing:0.420393
Sill (geology)	1.665167038485334	8	Home & Garden\Bed and bath:0.651,Sciences\Earth science:0.647991,Family & Parenting:0.651
Public toilet	1.6199239514940702	8	Home & Garden\Bed and bath:0.962379,Food & Drink\Restaurants:0.670017
Sink	1.5432502877101533	10	Home & Garden\Bed and bath:0.674068
Bed frame	1.5341539885724083	9	Home & Garden\Home Furnishing:0.651,Home & Garden\Furniture & Decorating:0.651,Home & Garden\Bed and bath:0.876446
Memory foam	1.510978043416582	11	Home & Garden\Bed and bath:0.922255
Blanket bog	1.4813741249999997	4	News\Weather:0.615458,Home & Garden\Bed and bath:0.99978
Pillow fight	1.4616303115288884	6	Family & Parenting\Kids & Teens:0.732316,Home & Garden\Bed and bath:0.99998
Bobbin lace	1.4092707039005608	7	Home & Garden\Bed and bath:0.985165,Style & Fashion\Clothing:0.518924
California Proposition 14 (2010)	1.3946970761658757	5	Law-Government-Politics:0.472119,Home & Garden\Bed and bath:0.651
Box-spring	1.3741710475775613	8	Style & Fashion\Skin & Facial Care:0.651,Style & Fashion\Cosmetic procedures:0.651,Home & Garden\Bed and bath:0.999999,Home & Garden\Furniture & Decorating:0.651,Home & Garden\Home Furnishing:0.651
Thomas Crapper	1.3642930841693246	5	Home & Garden\Bed and bath:0.998631
