Pulitzer Prize for Public Service	11.365996051757813	40	Law-Government-Politics\Social Services:0.994822,News\Newspapers:0.899774,Arts & Entertainment\Comics & Animation\Cartoons:0.651
Public service	6.832969480591183	36	Law-Government-Politics:0.765251,Law-Government-Politics\Social Services:0.998529,Business\Business Operations and Services:0.749737,Finance:0.651
Public service announcement	4.7088190137939465	20	Law-Government-Politics\Social Services:0.985165
Union Public Service Commission	4.620023209598439	22	Travel\Bus & Rail:0.661568,Law-Government-Politics:0.725324,Law-Government-Politics\Social Services:0.986959,Health:0.651
Public utility	4.413034081499226	12	Law-Government-Politics:0.670947,Law-Government-Politics\Social Services:0.905842,Business\Energy & Utilities:0.608357
Australian Public Service	4.291594547841013	14	Law-Government-Politics\Social Services:0.994822,Law-Government-Politics\Politics:0.95
Public sector	4.074206362108071	17	Law-Government-Politics:0.718034,Law-Government-Politics\Social Services:0.758789,Health:0.737301
Public Works and Government Services Canada	3.193154692086493	13	Law-Government-Politics\Social Services:0.99978,Finance\Banking:0.675645,Business\Business Operations and Services:0.432492,Finance:0.897987
Public Services International	2.9398809757901883	17	Law-Government-Politics:0.831582,Law-Government-Politics\Social Services:0.999979,Health:0.913608,Business\Business Operations and Services:0.488618
Social services	2.856054143010807	19	Finance\Grants & Financial assistance:0.878199,Law-Government-Politics\Social Services:0.999792,Health:0.682178,Food & Drink:0.655124,Education:0.669651
Minister of Public Works and Government Services	2.844139044183639	7	Law-Government-Politics\Social Services:0.985466
Civilian Public Service	2.626072312499999	8	Health\Mental health:0.651,Law-Government-Politics\Social Services:0.985636,Law-Government-Politics:0.682622,Health:0.585273,Business\Agriculture & Forestry:0.906972
Infrastructure	2.5853988790450075	11	Law-Government-Politics\Social Services:0.797748,Business\Business Operations and Services:0.774358
Ad Council	2.4009396108398438	4	Law-Government-Politics\Social Services:0.957491,Health:0.382459
Civil and Public Services Association	2.348989056914032	8	Law-Government-Politics\Social Services:0.883018
Public broadcasting	2.107755276243694	7	Law-Government-Politics\Social Services:0.70383,Finance:0.659126
Secretary of State for Social Services	2.075490712241955	13	Law-Government-Politics:0.651,Law-Government-Politics\Social Services:0.88207
Public information film	2.0553311900634768	2	Law-Government-Politics:0.651,Law-Government-Politics\Social Services:0.662092
American Friends Service Committee	1.9295820468749991	1	Law-Government-Politics\Social Services:0.651
Public Service Enterprise Group	1.8850680047378363	6	Law-Government-Politics\Social Services:0.994928,Business\Energy & Utilities:0.692066
Civil Services Examination	1.8782974513118111	9	Law-Government-Politics:0.698183,Law-Government-Politics\Social Services:0.885731
Child Protective Services	1.8227419048030287	2	Law-Government-Politics\Social Services:0.687348,World Localities\North America:0.665
Public Service Alliance of Canada	1.8182435946056041	8	Law-Government-Politics:0.703065,Law-Government-Politics\Social Services:0.986204,Finance\Retirement & Pension:0.73403,Food & Drink:0.651
Indian Administrative Service	1.6966945354026515	14	Law-Government-Politics:0.983218,Law-Government-Politics\Social Services:0.988338,Finance\Retirement & Pension:0.896952,Careers\Job Search:0.436071
Indian Police Service	1.6622748571749073	12	Law-Government-Politics\Social Services:0.682505
Navy Distinguished Public Service Award	1.628328084960937	5	Law-Government-Politics\Social Services:0.878199,Law-Government-Politics\Military:0.562524
Transport of New Jersey	1.5251346677808486	7	Business\Business Operations and Services:0.568323,Law-Government-Politics\Social Services:0.999783,Sports\Bicycling & Cycling:0.463635,Travel:0.658035,Travel\Bus & Rail:0.998816
