Auction	24.663142014842165	112	Shopping\Auctions:0.99566,Business\Business Operations and Services:0.67716
Christie's	12.604099600914738	73	Shopping\Auctions:0.966028,Arts & Entertainment\Fine Art:0.705423
Sotheby's	9.717226562143582	63	Arts & Entertainment\Hobbies\Antiques & Collectables:0.654469,Shopping\Auctions:0.996333,Real Estate:0.718177,Style & Fashion\Jewelry:0.651,Finance:0.891599
Vickrey auction	3.6051524927427274	14	Shopping\Auctions:0.999907,Arts & Entertainment\Hobbies\Stamps & Coins:0.878199
Online auction	3.175685402906508	20	Shopping\Auctions:0.99999,Food & Drink\Grocery & Food Retailers:0.667759
Dutch auction	3.0236706831445	14	Shopping\Auctions:0.999978
Bonhams	2.8942587482056763	16	Shopping\Auctions:0.998422,Arts & Entertainment\Hobbies\Antiques & Collectables:0.878199,Arts & Entertainment\Fine Art:0.670175
Spectrum auction	2.8855059760332455	9	Shopping\Auctions:0.987612,Law-Government-Politics:0.893673,Games\Gambling:0.651
English auction	2.5523523339444556	11	Shopping\Auctions:1.0
Auction theory	2.5486153795391644	10	Shopping\Auctions:0.999578
List of most expensive sculptures	2.537431793908594	6	Arts & Entertainment\Fine Art:0.625758,Shopping\Auctions:0.988094,Pets & Animals\Dogs:0.657297,Pets & Animals\Birds:0.880644,Reference\Libraries & Museums\Museums:0.926781
Public auction	2.3952963239900806	11	Shopping\Auctions:0.985165,Law-Government-Politics:0.889435
List of most expensive paintings	2.2568320238933275	10	Shopping\Auctions:0.669737,Arts & Entertainment\Fine Art:0.524202
Auction chant	2.160157500368002	4	Real Estate\Commercial & Investment real estate:0.570496,Shopping\Auctions:1.0,Health:0.522417,Style & Fashion\Fashion:0.651,Style & Fashion:0.651,Business\Agriculture & Forestry:0.951905
Phillips (auctioneers)	2.0860794738055763	12	Shopping\Auctions:0.892012
James Christie (auctioneer)	1.9812293080115788	4	Shopping\Auctions:0.965077,Business:0.693825
Bidding fee auction	1.8779442212035586	6	Shopping\Auctions:0.990272
L'Homme qui marche I	1.8182237469183078	3	Shopping\Auctions:0.665269
Unique bid auction	1.814986982119914	5	Shopping\Auctions:0.999428,Games\Gambling:0.879418
Combinatorial auction	1.7648643327335851	5	Travel\Bus & Rail:0.699418,Shopping\Auctions:0.99895
All-pay auction	1.756866713964197	5	Shopping\Auctions:0.967203
Auction school	1.71944237336089	8	Shopping\Auctions:0.887591
Auction sniping	1.6829266750652736	7	Shopping\Auctions:0.929159,Internet & Telecom:0.6588,Electronics & Computing\Software:0.659156
Guennol Lioness	1.6751288020630875	3	Shopping\Auctions:0.987506,Reference\Libraries & Museums\Museums:0.794482
Estate sale	1.5630982018247639	3	Shopping\Auctions:0.883667,Health:0.413635
