National Basketball Association	180.2807196267051	6737	Sports\Basketball:1.0,Sports:0.98005,Sports\Baseball:0.586068
Center (basketball)	81.94776963382319	3631	Sports\Basketball:0.999993,Health:0.771722,Sports\Baseball:0.496461,Careers:0.651,Finance\Retirement & Pension:0.882989
Basketball positions	75.94033462829336	2866	Sports\Basketball:0.865238
Point guard	67.248986083513	3010	Sports\Basketball:0.909258,Sports\Football:0.693321
Power forward (basketball)	59.13471457757829	2995	Sports\Basketball:0.977866,Sports:0.89527
Shooting guard	56.85385586200667	2928	Sports\Basketball:0.979158,Health:0.382459
NCAA Men's Division I Basketball Championship	56.81305553708675	1587	Games\Table games:0.576936,Sports\Basketball:0.999996,Sports:0.999197,Games\Board games & Puzzles:0.491538
Small forward	52.316384415638595	2609	Sports\Basketball:0.999394,Finance\Retirement & Pension:0.651,Health:0.527568
Boston Celtics	42.9247931898738	2131	Pets & Animals\Birds:0.651,Sports\Basketball:1.0,Sports:0.964307,Sports\Baseball:0.473878
Los Angeles Lakers	41.65301952342778	2217	Sports:0.973401,Sports\Basketball:1.0,Health:0.382459,Sports\Baseball:0.691078,Finance\Retirement & Pension:0.957491
New York Knicks	40.30057249097728	1983	Sports\Basketball:1.0,Sports:0.966665,Sports\Baseball:0.687109
Women's National Basketball Association	38.98460615702005	1048	Sports\Basketball:0.999999,Sports:0.965064,Sports\Baseball:0.437016
Rebound (basketball)	37.83440957083543	1955	Sports\Basketball:0.98801,Sports:0.296874
Philadelphia 76ers	37.327169371637076	1999	Sports\Basketball:0.999998,Sports:0.960534,Sports\Baseball:0.354991
Point (basketball)	37.29301115622946	1942	Sports\Basketball:0.907969
Assist (basketball)	36.557206193611734	1760	Careers:0.651,Sports\Winter Sports\Ice Hockey:0.651,Sports\Basketball:0.999735,Sports:0.775339
Detroit Pistons	36.45251590327222	1938	Sports\Basketball:0.999618,Sports:0.986215,Sports\Baseball:0.173774
