Tennis	255.0826406964322	8623	Sports:0.999178,Games\Table games:0.356526,Sports\Racquet Sports:0.98856,Health:0.382459,Sports\Racquet Sports\Tennis:1.0,Arts & Entertainment\Books and Literature:0.651,Sports\Olympics:0.866867
Association of Tennis Professionals	69.91064885041126	1796	Sports\Racquet Sports\Tennis:0.999991
The Championships, Wimbledon	63.6850176895247	1868	Home & Garden\Kitchen and Dining:0.651,Sports:0.98801,Sports\Racquet Sports\Tennis:0.999999
Grand Slam (tennis)	62.33649525818409	2142	Sciences\Space Science:0.486294,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.913737
Davis Cup	58.02303964572944	1451	Sports:0.990666,Sports\Racquet Sports\Tennis:0.997565
US Open (tennis)	57.19386492379301	1706	Sports:0.963384,Sports\Racquet Sports\Tennis:0.99994
Australian Open	47.65600836511871	1407	Sports:0.998479,Sports\Racquet Sports\Tennis:0.999322
French Open	46.93985402033566	1508	Sciences\Space Science:0.279244,Sports:0.986569,Sports\Racquet Sports\Tennis:0.999994
Women's Tennis Association	42.61814691012899	1354	Law-Government-Politics:0.670477,Sports\Racquet Sports\Tennis:0.99995
Fed Cup	33.08742081548945	1007	Sports:0.985015,Sports\Racquet Sports\Tennis:0.99596
International Tennis Federation	28.80555737020249	912	Sports\Racquet Sports:0.394775,Sports:0.777094,Sports\Racquet Sports\Tennis:0.999931
ATP Challenger Tour	23.640589439518653	750	Sports:0.734036,Sports\Racquet Sports\Tennis:0.999995,Sports\Olympics:0.658776
Clay court	23.072603445868893	1218	Sports\Racquet Sports\Tennis:0.996925
Roger Federer	19.49122384924406	1171	Sports:0.99701,Arts & Entertainment\Pop Culture & Celebrity News:0.997566,Arts & Entertainment\Movies/Television:0.95,Sports\Racquet Sports:0.545746,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.486294,Sports\Olympics:0.837942
Cincinnati Masters	19.47159986721525	702	Sports:0.684048,Sports\Racquet Sports\Tennis:0.999977,Finance:0.651
Martina Navratilova	18.69633691270186	908	Sports:0.995243,Arts & Entertainment\Pop Culture & Celebrity News:0.999151,Health\Health Conditions\Cancer:0.888881,Arts & Entertainment\Movies/Television:0.994343,Health:0.786427,Sports\Racquet Sports\Tennis:1.0,Arts & Entertainment\Books and Literature:0.954209
Canadian Open (tennis)	16.271836832616525	716	Finance\Banking:0.878199,Sports\Racquet Sports\Tennis:0.997907
International Tennis Hall of Fame	15.90917393584301	284	Sports\Racquet Sports:0.360485,Reference\Libraries & Museums\Museums:0.957491,Sports:0.996175,Sports\Racquet Sports\Tennis:0.998964
Rafael Nadal	15.883033799522787	919	Sports:0.997267,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Sports\Racquet Sports:0.475666,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.610085
Serena Williams	14.813414003661514	926	Sports:0.993917,Arts & Entertainment\Pop Culture & Celebrity News:0.999878,Arts & Entertainment\Movies/Television:0.9975,Sports\Racquet Sports:0.659059,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.593543,Sports\Olympics:0.733213
Italian Open (tennis)	14.783766058402021	682	Sports:0.961016,Sports\Racquet Sports\Tennis:0.99853
Hardcourt	14.725403469589006	957	Sports\Basketball:0.651,Sports:0.899613,Sports\Racquet Sports\Tennis:0.941179
Grass court	14.635215937463231	629	News\Weather:0.389036,Sports:0.919672,Sports\Racquet Sports\Tennis:0.996725
John McEnroe	14.568525651480181	675	Sports:0.993007,Arts & Entertainment\Pop Culture & Celebrity News:0.999877,Arts & Entertainment\Movies/Television:0.999379,Sports\Racquet Sports:0.577191,Education\Childhood Education\Primary & Secondary Schooling (K-12):0.348304,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0
Indian Wells Masters	14.303763332313764	658	Sports:0.903571,Sports\Racquet Sports\Tennis:0.999997
Andre Agassi	13.796005824246281	780	Sports:0.997911,Arts & Entertainment\Pop Culture & Celebrity News:0.997599,Arts & Entertainment\Movies/Television:0.950999,Careers:0.957491,Sports\Racquet Sports\Tennis:1.0,Business:0.973784,Finance\Retirement & Pension:0.958151
Miami Masters	13.413013015069822	623	Finance\Banking:0.651,Sports:0.896596,Sports\Racquet Sports\Tennis:0.999997
Pete Sampras	13.2778527106287	676	Sports:0.970951,Arts & Entertainment\Pop Culture & Celebrity News:0.997533,Arts & Entertainment\Movies/Television:0.95,Sports\Racquet Sports:0.43667,Careers:0.651,Sports\Racquet Sports\Tennis:1.0,Finance\Retirement & Pension:0.651
Martina Hingis	13.041176731943168	748	Sports:0.989724,Arts & Entertainment\Pop Culture & Celebrity News:0.951323,Sports\Racquet Sports:0.43667,Health:0.741395,Sports\Racquet Sports\Tennis:1.0,Finance\Retirement & Pension:0.656416
Venus Williams	12.818756504476616	903	Sports:0.986446,Arts & Entertainment\Pop Culture & Celebrity News:0.99988,Arts & Entertainment\Movies/Television:0.9975,Sports\Racquet Sports:0.68266,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.740868,Sports\Olympics:0.929711
Lleyton Hewitt	12.415202042814515	849	Sports:0.997002,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.511963,Careers:0.651,Sports\Racquet Sports\Tennis:1.0
United States Tennis Association	12.412037346339863	243	Finance\Investing:0.680912,Arts & Entertainment\Books and Literature:0.95,Sports:0.928466,Sports\Racquet Sports\Tennis:0.996542
Novak Djokovic	12.156623575079536	763	Sports:0.997306,Arts & Entertainment\Pop Culture & Celebrity News:0.997533,Arts & Entertainment\Movies/Television:0.95,Sports\Racquet Sports:0.511963,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.57532,Sports\Olympics:0.597253
Andy Murray	12.01808330684506	767	Sports:0.994145,Arts & Entertainment\Pop Culture & Celebrity News:0.951971,Sports\Racquet Sports:0.511963,Lifestyle\Dating:0.375792,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.926257
Andy Roddick	11.871537506784337	828	Sports:0.997479,Arts & Entertainment\Pop Culture & Celebrity News:0.999877,Arts & Entertainment\Movies/Television:0.997536,Sports\Racquet Sports:0.545746,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.248341,Finance\Retirement & Pension:0.880089
Leander Paes	11.855360839341964	939	Sports:0.999091,Arts & Entertainment\Pop Culture & Celebrity News:0.9975,Arts & Entertainment\Movies/Television:0.95,Sports\Racquet Sports:0.725074,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.248341,Sports\Olympics:0.990251
Grand Prix tennis circuit	11.826395005158346	582	Sports\Racquet Sports:0.133655,Sports\Racquet Sports\Tennis:0.996415
Monte-Carlo Masters	11.725161570035768	453	Sports\Racquet Sports\Tennis:0.999744
Billie Jean King	11.593218942368892	431	Sports:0.990509,Arts & Entertainment\Pop Culture & Celebrity News:0.999878,Arts & Entertainment\Movies/Television:0.997572,Sports\Racquet Sports:0.349763,Law-Government-Politics:0.657496,Sports\Racquet Sports\Tennis:1.0,Style & Fashion\Jewelry:0.39317
Chris Evert	11.58397046501198	513	Sports:0.970104,Arts & Entertainment\Pop Culture & Celebrity News:0.9975,Arts & Entertainment\Movies/Television:0.951621,Sports\Racquet Sports:0.43667,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.435009
Ivan Lendl	11.529462709639196	590	Sports:0.973859,Arts & Entertainment\Pop Culture & Celebrity News:0.997533,Arts & Entertainment\Movies/Television:0.95,Family & Parenting\Toys:0.270295,Sports\Racquet Sports:0.475666,Sports\Racquet Sports\Tennis:1.0,Arts & Entertainment\Books and Literature:0.951695
Stefan Edberg	11.35357956080985	593	Sports:0.969812,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.475666,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.438608
Jimmy Connors	11.340308240258876	549	Sports:0.977947,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Sports\Racquet Sports:0.577191,Lifestyle\Wedding & Engagement:0.725423,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0,Arts & Entertainment\Books and Literature:0.95102
Jonas Björkman	11.242971530173984	949	Sports:0.967547,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Sports\Racquet Sports:0.394775,Health\Aging and Geriatrics:0.660565,Sports\Racquet Sports\Tennis:0.999999,Finance\Retirement & Pension:0.660565
ITF Men's Circuit	11.05713062676073	240	Sports\Racquet Sports\Tennis:0.999999,Sports\Olympics:0.658776
German Open Tennis Championships	11.01079408617832	390	Health:0.382459,Sports:0.688036,Sports\Racquet Sports\Tennis:0.998651
Daniel Nestor	10.979881648597637	1019	Sports:0.979782,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Sports\Racquet Sports:0.577191,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.713065
Arantxa Sánchez Vicario	10.751058410645673	791	Sports:0.975561,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.577191,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.62633
Boris Becker	10.647327956706809	571	Sports:0.978125,Arts & Entertainment\Pop Culture & Celebrity News:0.999994,Arts & Entertainment\Movies/Television:0.9975,Sports\Racquet Sports\Tennis:1.0,Business:0.95,Arts & Entertainment\Books and Literature:0.95,Arts & Entertainment\Music:0.9975
Todd Woodbridge	10.56929502819572	849	Sports:0.999901,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,Arts & Entertainment\Movies/Television:0.89733,Family & Parenting:0.675564,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.672972,Finance\Retirement & Pension:0.666998
Tennis at the Summer Olympics	10.451624178521481	353	Sports:0.992518,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.999006
Max Mirnyi	10.330632977073765	965	Sports:0.971886,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.475666,Law-Government-Politics:0.665,Careers:0.878199,Sports\Racquet Sports\Tennis:0.999999,Sports\Olympics:0.728334
Steffi Graf	10.293899954141455	570	Sports:0.993333,Arts & Entertainment\Pop Culture & Celebrity News:0.952611,Sports\Racquet Sports:0.704627,Lifestyle\Dating:0.395028,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.644657,Finance\Retirement & Pension:0.656416
ATP International Series	10.201490169150071	754	Sports\Racquet Sports\Tennis:0.982202
Bob Bryan	10.19739824169282	864	Sports:0.977449,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.577191,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.721861
Fabrice Santoro	10.099822309951866	884	Sports:0.968373,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.349763,Careers:0.878199,Sports\Racquet Sports\Tennis:0.999993,Finance\Retirement & Pension:0.651
Jana Novotná	9.916656318731192	686	Sports:0.971974,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.475666,Law-Government-Politics:0.393932,Careers:0.651,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.58185
Margaret Court	9.915408744867564	326	Sports:0.999006,Arts & Entertainment\Pop Culture & Celebrity News:0.950666,News\Newspapers:0.651,Careers:0.985165,Family & Parenting:0.668379,Sports\Racquet Sports\Tennis:1.0,Finance\Retirement & Pension:0.661749
Maria Sharapova	9.899093010692281	695	Sports:0.997253,Arts & Entertainment\Pop Culture & Celebrity News:0.997688,Arts & Entertainment\Movies/Television:0.95,Style & Fashion\Fashion:0.666529,Careers:0.651,Sports\Racquet Sports\Tennis:1.0,Style & Fashion\Clothing:0.663436
Mike Bryan	9.870742477476476	834	Sports:0.976805,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.577191,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.721861
Mahesh Bhupathi	9.85857844288434	821	Sports:0.975998,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.577191,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.415087
Lisa Raymond	9.660905005219318	1029	Sports:0.967172,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.43667,Health:0.391465,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.572595
History of tennis	9.523841103055366	161	Sports\Racquet Sports:0.488323,Sports:0.976607,Sports\Racquet Sports\Tennis:0.999967
Rod Laver	9.520841097205047	395	Sports:0.998566,Arts & Entertainment\Pop Culture & Celebrity News:0.951323,Sports\Racquet Sports:0.349763,Careers:0.878199,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.378605,Arts & Entertainment\Books and Literature:0.95
Justine Henin	9.396677931489634	519	Sports:0.977261,Arts & Entertainment\Pop Culture & Celebrity News:0.951971,Sports\Racquet Sports:0.577191,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.560795,Finance\Retirement & Pension:0.878199
Monica Seles	9.354489036996322	482	Sports:0.97995,Arts & Entertainment\Pop Culture & Celebrity News:0.951323,Arts & Entertainment\Movies/Television:0.883085,Sports\Racquet Sports:0.60646,Sports\Racquet Sports\Tennis:1.0,Arts & Entertainment\Books and Literature:0.95,Finance\Retirement & Pension:0.651
Lindsay Davenport	9.237530919645474	752	Sports:0.975918,Arts & Entertainment\Pop Culture & Celebrity News:0.9975,Arts & Entertainment\Movies/Television:0.95,Sports\Racquet Sports:0.511963,Careers:0.651,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.542581
Björn Borg	9.184788788194814	371	Sports:0.963265,Arts & Entertainment\Pop Culture & Celebrity News:0.999877,Arts & Entertainment\Movies/Television:0.9975,Sports\Racquet Sports:0.249447,Careers:0.651,Sports\Racquet Sports\Tennis:0.999999,Sciences\Space Science:0.248341
ATP World Tour Finals	9.090176805747149	330	Sports\Soccer:0.315088,Sports:0.679499,Sports\Racquet Sports\Tennis:0.999583
Paris Masters	8.918733167436846	390	Sports\Racquet Sports\Tennis:0.998681
Jürgen Melzer	8.885473816763025	817	Sports:0.996123,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.394775,Careers:0.651,Sports\Racquet Sports\Tennis:0.999995,Sports\Olympics:0.342391
Mats Wilander	8.88450635750886	441	Sports:0.965642,Arts & Entertainment\Pop Culture & Celebrity News:0.9975,Arts & Entertainment\Movies/Television:0.95,Sports\Racquet Sports:0.301403,Careers:0.651,Sports\Racquet Sports\Tennis:1.0,Sciences\Space Science:0.435009
Pam Shriver	8.733741127310111	540	Sports:0.99196,Arts & Entertainment\Pop Culture & Celebrity News:0.9975,Arts & Entertainment\Movies/Television:0.95,Sports\Racquet Sports:0.511963,Sports\Racquet Sports\Tennis:1.0,Sports\Olympics:0.816018
ATP World Tour Masters 1000	8.69619684080775	395	Careers:0.878199,Sports\Racquet Sports\Tennis:0.999994,Sports\Olympics:0.658776
Tommy Robredo	8.651226514584906	865	Sports:0.96457,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.349763,Careers:0.651,Sports\Racquet Sports\Tennis:0.999869
Nenad Zimonjić	8.634219870668376	782	Sports:0.972182,Arts & Entertainment\Pop Culture & Celebrity News:0.95,Sports\Racquet Sports:0.511963,Careers:0.651,Sports\Racquet Sports\Tennis:0.999999
