Watch	13.859038229382664	154	Style & Fashion\Jewelry:0.699336,Style & Fashion\Accessories:0.98255,Arts & Entertainment\Hobbies\Antiques & Collectables:0.704218,Style & Fashion\Accessories\Watches:0.999998
Clock	13.661756959245928	111	Electronics & Computing\Home Theater & TV:0.482863,Electronics & Computing:0.739759,Style & Fashion\Accessories\Watches:0.992751
Coordinated Universal Time	7.215987480393854	29	Style & Fashion\Accessories\Watches:0.326725
UTC offset	4.647758094266048	34	Style & Fashion\Accessories\Watches:0.10727
Pendulum	4.343800321932939	45	Style & Fashion\Accessories\Watches:0.566868
Horology	4.1924079266782375	42	Electronics & Computing:0.651,Style & Fashion\Accessories\Watches:0.908723
Escapement	4.111284704044136	45	Style & Fashion\Accessories\Watches:0.961283
Movement (clockwork)	3.8147333679468254	49	Arts & Entertainment\Hobbies\Antiques & Collectables:0.65621,Style & Fashion\Accessories\Watches:0.955517
Chronograph	3.7783818539839205	47	Sports\Motor Sports\Auto Racing:0.651,Style & Fashion\Accessories\Watches:0.923969
Pendulum clock	3.5614914250651273	30	Style & Fashion\Beauty:0.651,Arts & Entertainment\Hobbies\Antiques & Collectables:0.651,Style & Fashion\Accessories\Watches:0.721606,Home & Garden:0.651
Rolex	3.5008025391322777	40	Shopping\Luxury goods:0.651,Style & Fashion\Accessories\Watches:0.930553
Marine chronometer	3.476068782265172	31	Health\Health Conditions\AIDS/HIV:0.656804,Style & Fashion\Accessories\Watches:0.886396
24-hour clock	3.437721425554979	19	Style & Fashion\Accessories\Watches:0.63873
Mainspring	3.4197618904717886	32	Home & Garden\Kitchen and Dining:0.651,Style & Fashion\Accessories\Watches:0.870866
Mechanical watch	3.2751574806695496	39	Electronics & Computing:0.686034,Shopping\Luxury goods:0.665393,Style & Fashion\Accessories\Watches:0.999916
Balance wheel	3.2596186456535388	37	Style & Fashion\Accessories\Watches:0.993171
Clockmaker	3.0337167197272175	24	Style & Fashion\Jewelry:0.651,Health:0.382459,Arts & Entertainment\Hobbies\Antiques & Collectables:0.960213,Style & Fashion\Accessories\Watches:0.973608
Citizen Holdings	2.976816230096711	23	Sciences\Scientific Institutions:0.651,Electronics & Computing\Consumer Electronics:0.665,Style & Fashion\Accessories\Watches:0.711107
Water clock	2.9381978735752043	16	Pets & Animals\Aquariums:0.624477,Sciences\Earth science:0.648449,News\Weather:0.674332,Law-Government-Politics:0.651,Style & Fashion\Accessories\Watches:0.956721,Health\Nutrition:0.906932
Watchmaker	2.918553451441063	43	Health:0.52179,Style & Fashion\Accessories\Watches:0.99967,Style & Fashion\Fashion:0.696281,Style & Fashion:0.696281,Style & Fashion\Jewelry:0.651
Automatic watch	2.814186663951283	35	Style & Fashion\Accessories\Watches:0.91391
Striking clock	2.6497857523095436	23	Style & Fashion\Accessories\Watches:0.963665,Lifestyle\Religion and Belief:0.878199,Health\Health Conditions\A.D.D.:0.651
Clock tower	2.5606096777579483	23	Style & Fashion\Accessories\Watches:0.749808
Pocket watch	2.4573145254247057	31	Style & Fashion\Jewelry:0.451348,Style & Fashion\Beauty:0.651,Style & Fashion\Accessories\Watches:0.999989,Sciences\Engineering and Technology:0.665
Clock face	2.4183570353787918	25	Style & Fashion\Accessories\Watches:0.984533,Sports:0.651
Proper time	2.4051840153955766	4	Style & Fashion\Accessories\Watches:0.512779
Complication (horology)	2.325828996435754	28	Style & Fashion\Accessories\Watches:0.999956,Sciences\Astronomy:0.651
The Swatch Group	2.307887752161101	29	Style & Fashion\Jewelry:0.651,Style & Fashion\Accessories\Watches:0.750432
Crystal oscillator	2.1089113256854666	18	Electronics & Computing:0.78687,Electronics & Computing\Cell Phone & PDA:0.651,Style & Fashion\Accessories\Watches:0.932398
Stopwatch	2.059071840065937	15	Electronics & Computing:0.556384,Careers\Resume Writing/Advice:0.651,Sports:0.894788,Electronics & Computing\Cell Phone & PDA:0.736306,Style & Fashion\Accessories\Watches:0.91838
Radio clock	2.0510297688475467	17	Automotive\Manufacturers\Jeep:0.651,Electronics & Computing:0.704008,Style & Fashion\Accessories\Watches:0.896241
24-hour analog dial	2.04294987116984	11	Style & Fashion\Accessories\Watches:0.748815
Coordinate time	2.0192032634293877	3	Style & Fashion\Accessories\Watches:0.24995
12-hour clock	1.9433270135848484	17	Style & Fashion\Accessories\Watches:0.437425
